source_row_id,brand,source_description,unit,model_from_implementation_a,model_from_implementation_b,family_from_a,family_from_b,identity_key_a,identity_key_b,classification_a,classification_b,pack_id_a,pack_id_b,product_id_a,product_id_b,price_a,price_b,discrepancy_type,recommended_resolution,evidence
1180,Euromaid,- EUROMAID 60CM 5 FUNCTION BUILT-IN OVEN EO605DTB,EACH,EO605DTB,EO605DTB,ovens,ovens,brand-model:euromaid:eo605dtb,euromaid::eo605dtb,component,component,product:appliances:appliance-packs:euromaid:1184,pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:ovens:euromaid:eo605dtb,product:appliances:ovens:euromaid:eo605dtb,500,500,none,No change required.,
1181,Euromaid,- EUROMAID 60CM CERAMIC COOKTOP KCS4,EACH,KCS4,KCS4,cooktops,cooktops,brand-model:euromaid:kcs4,euromaid::kcs4,component,component,product:appliances:appliance-packs:euromaid:1184,pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:cooktops:euromaid:kcs4,product:appliances:cooktops:euromaid:kcs4,336,336,none,No change required.,
1182,Euromaid,- EUROMAID 60CM SLIDE OUT RANGEHOOD RS6S,EACH,RS6S,RS6S,rangehoods,rangehoods,brand-model:euromaid:rs6s,euromaid::rs6s,component,component,product:appliances:appliance-packs:euromaid:1184,pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:rangehoods:euromaid:rs6s,product:appliances:rangehoods:euromaid:rs6s,249,249,none,No change required.,
1183,Euromaid,- EUROMAID 60CM DISHWASHER EDW14S,EACH,EDW14S,EDW14S,dishwashers,dishwashers,brand-model:euromaid:edw14s,euromaid::edw14s,component,component,product:appliances:appliance-packs:euromaid:1184,pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:dishwashers:euromaid:edw14s,product:appliances:dishwashers:euromaid:edw14s,599,599,none,No change required.,
1184,Euromaid,EUROMAID PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,,appliance-packs,appliance-packs,pack:pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,pack:pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,pack,pack,product:appliances:appliance-packs:euromaid:1184,pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,,,1684,1684,none,No change required.,dimension token present; not a model ID
1185,Euromaid,- EUROMAID 60CM 5 FUNCTION BUILT-IN OVEN EO605DTB,EACH,EO605DTB,EO605DTB,ovens,ovens,brand-model:euromaid:eo605dtb,euromaid::eo605dtb,component,component,product:appliances:appliance-packs:euromaid:1184,pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:ovens:euromaid:eo605dtb,product:appliances:ovens:euromaid:eo605dtb,500,500,none,No change required.,
1186,Euromaid,- EUROMAID 60CM GAS COOKTOP WK60S,EACH,WK60S,WK60S,cooktops,cooktops,brand-model:euromaid:wk60s,euromaid::wk60s,component,component,product:appliances:appliance-packs:euromaid:1184,pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:cooktops:euromaid:wk60s,product:appliances:cooktops:euromaid:wk60s,250,250,none,No change required.,
1187,Euromaid,- EUROMAID 60CM SLIDE OUT RANGEHOOD RS6S,EACH,RS6S,RS6S,rangehoods,rangehoods,brand-model:euromaid:rs6s,euromaid::rs6s,component,component,product:appliances:appliance-packs:euromaid:1184,pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:rangehoods:euromaid:rs6s,product:appliances:rangehoods:euromaid:rs6s,249,249,none,No change required.,
1188,Euromaid,- EUROMAID 60CM DISHWASHER EDW14S,EACH,EDW14S,EDW14S,dishwashers,dishwashers,brand-model:euromaid:edw14s,euromaid::edw14s,component,component,product:appliances:appliance-packs:euromaid:1184,pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:dishwashers:euromaid:edw14s,product:appliances:dishwashers:euromaid:edw14s,599,599,none,No change required.,
1189,Euromaid,EUROMAID PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,,appliance-packs,appliance-packs,pack:pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,pack:pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,pack,pack,product:appliances:appliance-packs:euromaid:1189,pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,,,1598,1598,none,No change required.,dimension token present; not a model ID
