product_id,brand,model,family,field,value,source_status,source_organisation,source_url,checked_at
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,family,cooktops,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,manufacturerModel,NIO 844 DO B AUS,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,width,785 mm,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,widthMm,785,verified-source,Ariston Australia,https://ariston.com.au/inventory/nio844dob/,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,finish,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,fuelOrEnergyType,induction,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,installationType,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,cooktopType,induction,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,cookingZonesOrBurners,4,verified-source,Ariston Australia,https://ariston.com.au/inventory/nio844dob/,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,controlType,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,gasOrElectricalRequirements,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,heightMm,51,verified-source,Ariston Australia,https://ariston.com.au/inventory/nio844dob/,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,depthMm,520,verified-source,Ariston Australia,https://ariston.com.au/inventory/nio844dob/,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,controls,touch control,verified-source,Ariston Australia,https://ariston.com.au/inventory/nio844dob/,2026-09-02
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,cookingTechnology,induction,verified-source,Ariston Australia,https://ariston.com.au/inventory/nio844dob/,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,family,cooktops,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,manufacturerModel,PC640NTX,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,width,555 mm,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,widthMm,555,verified-source,Ariston Australia,https://ariston.com.au/inventory/pc640ntx/,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,finish,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,fuelOrEnergyType,gas,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,installationType,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,cooktopType,gas,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,cookingZonesOrBurners,4,verified-source,Ariston Australia,https://ariston.com.au/inventory/pc640ntx/,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,controlType,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,gasOrElectricalRequirements,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,heightMm,390,verified-source,Ariston Australia,https://ariston.com.au/inventory/pc640ntx/,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,depthMm,475,verified-source,Ariston Australia,https://ariston.com.au/inventory/pc640ntx/,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,controls,one hand electronic ignition,verified-source,Ariston Australia,https://ariston.com.au/inventory/pc640ntx/,2026-09-02
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,cookingTechnology,gas,verified-source,Ariston Australia,https://ariston.com.au/inventory/pc640ntx/,2026-09-02
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,family,cooktops,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,manufacturerModel,PF604IX,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,width,600 mm,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,widthMm,600,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,finish,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,fuelOrEnergyType,electric,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,installationType,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,cooktopType,electric,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,cookingZonesOrBurners,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,controlType,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,gasOrElectricalRequirements,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,family,cooktops,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,manufacturerModel,PKQ 755 D GH AUS,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,width,900 mm,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,widthMm,900,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,finish,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,fuelOrEnergyType,gas,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,installationType,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,cooktopType,gas,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,cookingZonesOrBurners,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,controlType,,pending-verification,,,2026-09-02
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,gasOrElectricalRequirements,,pending-verification,,,2026-09-02
product:appliances:cooktops:blanco:bcc604t,Blanco,BCC604T,cooktops,family,cooktops,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:blanco:bcc604t,Blanco,BCC604T,cooktops,manufacturerModel,BCC604T,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:blanco:bcc604t,Blanco,BCC604T,cooktops,width,600 mm,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:blanco:bcc604t,Blanco,BCC604T,cooktops,widthMm,600,legacy-source-derived,Legacy appliance options CSV,,2026-09-02
product:appliances:cooktops:blanco:bcc604t,Blanco,BCC604T,cooktops,finish,,pending-verification,,,2026-09-02
