identity_key,brand,model_number,source_row_ids,prices,units,selectable_values,active_values,descriptions,canonical_resolution,recommended_action,actual_price_conflict
euromaid::edw14s,Euromaid,EDW14S,1183|1188|1195|1200|1204|1208|1212,599,EACH,true,true,EUROMAID 60CM DISHWASHER EDW14S|EUROMAID DISHWASHER OPTION - EUROMAID 60CM DISHWASHER EDW14S,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
euromaid::cpt9mb,Euromaid,CPT9MB,1203|1210,505,EACH,true,true,EUROMAID 90CM PYRAMID CANOPY RANGEHOOD CPT9MB|EUROMAID 900MM CANOPY RANGEHOOD OPTION - EUROMAID 90CM PYRAMID CANOPY RANGEHOOD CPT9MB,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
euromaid::fs90s,Euromaid,FS90S,1207|1211,299,EACH,false,true,EUROMAID 90CM FIXED/UNDERCUPBOARD RANGEHOOD FS90S|EUROMAID 900MM UNDER CUPBOARD RANGEHOOD OPTION - EUROMAID 90CM FIXED/UNDERCUPBOARD RANGEHOOD FS90S,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
omega::odw702xb,Omega,ODW702XB,1217|1222|1229|1231|1235|1239|1242,699,EACH,true,true,OMEGA 60CM FREESTANDING DISHWASHER ODW702XB|OMEGA DISHWASHER OPTION - OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
omega::orc90x,Omega,ORC90X,1234|1240,549,EACH,true,true,OMEGA 90CM CANOPY RANGEHOOD ORC90X|OMEGA 900MM CANOPY RANGEHOOD OPTION - OMEGA 90CM CANOPY RANGEHOOD ORC90X,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
omega::orf90x,Omega,ORF90X,1238|1241,349,EACH,false,true,OMEGA 90CM FIXED RANGEHOOD ORF90X|OMEGA 900MM UNDER CUPBOARD RANGEHOOD OPTION - OMEGA 90CM FIXED RANGEHOOD ORF90X,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
blanco::bdw146x,Blanco,BDW146X,1246|1251|1257|1262|1266|1270|1274,799,EACH,true,true,BLANCO 60CM FREESTANDING DISHWASHER BDW146X|BLANCO DISHWASHER OPTION - BLANCO 60CM FREESTANDING DISHWASHER BDW146X,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
blanco::brc90x,Blanco,BRC90X,1265|1272,799,EACH,true,true,BLANCO 90CM CANOPY RANGEHOOD BRC90X|BLANCO 900MM CANOPY RANGEHOOD OPTION - BLANCO 90CM CANOPY RANGEHOOD BRC90X,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
blanco::bru90ux,Blanco,BRU90UX,1269|1273,899,EACH,true,true,BLANCO 90CM UNDERMOUNT RANGEHOOD BRU90UX|BLANCO 900MM UNDER CUPBOARD RANGEHOOD OPTION - BLANCO 90CM UNDERMOUNT RANGEHOOD BRU90UX,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
ariston::lfo3c23wf,Ariston,LFO3C23WF,1278|1282|1286|1293|1299|1303|1307,799,EACH,true,true,ARISTON 60CM DISHWASHER LFO3C23WF|ARISTON DISHWASHER OPTION - ARISTON 60CM DISHWASHER LFO3C23WF,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
ariston::arhc90x,Ariston,ARHC90X,1298|1305,699,EACH,true,true,ARISTON 90CM CANOPY RANGEHOOD ARHC90X|ARISTON 900MM CANOPY RANGEHOOD OPTION - ARISTON 90CM CANOPY RANGEHOOD ARHC90X,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
ariston::aru90x,Ariston,ARU90X,1302|1306,499,EACH,true,true,ARISTON 90CM UNDER CUPBOARD RANGEHOOD ARU90X|ARISTON 900MM UNDER CUPBOARD RANGEHOOD OPTION - ARISTON 90CM UNDER CUPBOARD RANGEHOOD ARU90X,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
westinghouse::wsf6606x,Westinghouse,WSF6606X,1311|1316|1323|1328|1332|1336|1340,799,EACH,true,true,WESTINGHOUSE 60CM FREESTANDING DISHWASHER WSF6606X|WESTINGHOUSE DISHWASHER OPTION - WESTINGHOUSE 60CM FREESTANDING DISHWASHER WSF6606X,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
westinghouse::wrc914sd,Westinghouse,WRC914SD,1331|1338,599,EACH,true,true,WESTINGHOUSE 90CM CANOPY RANGEHOOD WRC914SD|WESTINGHOUSE 900MM CANOPY RANGEHOOD OPTION - WESTINGHOUSE 90CM CANOPY RANGEHOOD WRC914SD,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
westinghouse::wrf910wa,Westinghouse,WRF910WA,1335|1339,298,EACH,false,true,WESTINGHOUSE 90CM FIXED RANGEHOOD WRF910WA|WESTINGHOUSE 900MM UNDER CUPBOARD RANGEHOOD OPTION - WESTINGHOUSE 90CM FIXED RANGEHOOD WRF910WA,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
smeg::dwau6315x3,Smeg,DWAU6315X3,1344|1349|1356|1361|1365|1369|1373,1599,EACH,true,true,SMEG 60CM FREESTANDING DISHWASHER DWAU6315X3|SMEG DISHWASHER OPTION - SMEG 60CM FREESTANDING DISHWASHER DWAU6315X3,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
smeg::shw910x2,Smeg,SHW910X2,1364|1371,1750,EACH,true,true,SMEG 90CM CANOPY RANGEHOOD SHW910X2|SMEG 900MM CANOPY RANGEHOOD OPTION - SMEG 90CM CANOPY RANGEHOOD SHW910X2,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
smeg::pum901x,Smeg,PUM901X,1368|1372,1499,EACH,true,true,SMEG 90CM UNDERMOUNT RANGEHOOD PUM901X|SMEG 900MM UNDER CUPBOARD RANGEHOOD OPTION - SMEG 90CM UNDERMOUNT RANGEHOOD PUM901X,one canonical model record,Preserve source-row traceability and variation labels; do not create duplicate products.,FALSE
