productId,brandName,manufacturerModel,familyId,primaryImage,localAssetPath,imageStatus,imageVerificationStatus,imageSourceUrl,imageSourceType,imageSourceOrganisation,imageAttribution,imageCheckedAt,productPageUrl,result,reasonForReview
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,,,exact-image-unavailable,unresolved,https://ariston.com.au/inventory/nio844dob/,,Ariston Australia,,2026-09-04,https://ariston.com.au/inventory/nio844dob/,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,,,exact-image-unavailable,unresolved,https://ariston.com.au/inventory/pc640ntx/,,Ariston Australia,,2026-09-04,https://ariston.com.au/inventory/pc640ntx/,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:blanco:bcc604t,Blanco,BCC604T,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:blanco:bcg604wx,Blanco,BCG604WX,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:blanco:bcg905wx,Blanco,BCG905WX,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:blanco:bic90x,Blanco,BIC90X,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:euromaid:ecck900,Euromaid,ECCK900,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:euromaid:gc90s,Euromaid,GC90S,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:euromaid:kcs4,Euromaid,KCS4,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:euromaid:wk60s,Euromaid,WK60S,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:omega:ocg604x,Omega,OCG604X,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,No exact model image source verified in this pass.
product:appliances:cooktops:omega:oci64z,Omega,OCI64Z,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,No exact model image source verified in this pass.
product:appliances:cooktops:omega:oi90z,Omega,OI90Z,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:smeg:pga64,Smeg,PGA64,cooktops,/images/catalogues/appliances/products/smeg/pga64.jpg,/images/catalogues/appliances/products/smeg/pga64.jpg,verified-official-local,verified-exact-model,https://www.smeg.com/au/products/PGA64,official-australian-product-page,Smeg,Smeg,2026-09-04,https://www.smeg.com/au/products/PGA64,verified,Previously verified exact model PGA64; remote image stored locally for Product Library display.
product:appliances:cooktops:smeg:pga95,Smeg,PGA95,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:cooktops:smeg:sai4954d,Smeg,SAI4954D,cooktops,/images/catalogues/appliances/products/smeg/sai4954d.jpg,/images/catalogues/appliances/products/smeg/sai4954d.jpg,verified-official-local,verified-exact-model,https://www.smeg.com/au/products/SAI4954D,official-australian-product-page,Smeg,Smeg,2026-09-04,https://www.smeg.com/au/products/SAI4954D,verified,Previously verified exact model SAI4954D; remote image stored locally for Product Library display.
product:appliances:cooktops:smeg:si2641d,Smeg,SI2641D,cooktops,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
