productId,brandName,manufacturerModel,familyId,reason
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:blanco:bcc604t,Blanco,BCC604T,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:blanco:bcg604wx,Blanco,BCG604WX,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:blanco:bcg905wx,Blanco,BCG905WX,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:blanco:bic90x,Blanco,BIC90X,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:euromaid:ecck900,Euromaid,ECCK900,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:euromaid:gc90s,Euromaid,GC90S,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:euromaid:kcs4,Euromaid,KCS4,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:euromaid:wk60s,Euromaid,WK60S,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:omega:ocg604x,Omega,OCG604X,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:omega:oci64z,Omega,OCI64Z,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:omega:oi90z,Omega,OI90Z,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:smeg:pga64,Smeg,PGA64,cooktops,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:smeg:pga95,Smeg,PGA95,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:smeg:sai4954d,Smeg,SAI4954D,cooktops,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:smeg:si2641d,Smeg,SI2641D,cooktops,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:westinghouse:whc642bc,Westinghouse,WHC642BC,cooktops,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:westinghouse:whg644sc,Westinghouse,WHG644SC,cooktops,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:westinghouse:whg958sc,Westinghouse,WHG958SC,cooktops,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:westinghouse:whi955bd,Westinghouse,WHI955BD,cooktops,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,LFO3C23WF,dishwashers,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
