product_id,brand,family,model,primary_image,image_status,image_source_url,image_source_organisation,product_page_url,checked_at,licence_status
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,cooktops,NIO 844 DO B AUS,,pending-licence,https://ariston.com.au/inventory/nio844dob/,Ariston Australia,https://ariston.com.au/inventory/nio844dob/,2026-09-03,pending-licence
product:appliances:cooktops:ariston:pc640ntx,Ariston,cooktops,PC640NTX,,pending-licence,https://ariston.com.au/inventory/pc640ntx/,Ariston Australia,https://ariston.com.au/inventory/pc640ntx/,2026-09-03,pending-licence
product:appliances:cooktops:ariston:pf604ix,Ariston,cooktops,PF604IX,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,cooktops,PKQ 755 D GH AUS,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:blanco:bcc604t,Blanco,cooktops,BCC604T,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:blanco:bcg604wx,Blanco,cooktops,BCG604WX,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:blanco:bcg905wx,Blanco,cooktops,BCG905WX,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:blanco:bic90x,Blanco,cooktops,BIC90X,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:euromaid:ecck900,Euromaid,cooktops,ECCK900,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:euromaid:gc90s,Euromaid,cooktops,GC90S,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:euromaid:kcs4,Euromaid,cooktops,KCS4,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:euromaid:wk60s,Euromaid,cooktops,WK60S,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:omega:ocg604x,Omega,cooktops,OCG604X,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:omega:oci64z,Omega,cooktops,OCI64Z,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:omega:oi90z,Omega,cooktops,OI90Z,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:smeg:pga64,Smeg,cooktops,PGA64,https://assets.4flow.cloud/THUMB_PGA64.jpg.jpg?pEFs=cVY2M1MyN1ZOMFFadEQ5ZlVOMzhVeUdiMU5kUXRGaGxrNnNZVGRqQmlIb01KMnVOQ05LWjZVQ05QYjZnQVBtYjluYjhaQ2tzTm45VnhUNmM1bG5aWU9wRmY1K3FMZlZCZzRMRnB6VjVQYjBTRzJkVWttaW54ZUZ6TU02eGd1OGdCRmJSeFZCNlFpUS9rMGU1bGtpR1JXQ0VIYWJNQWFpWk52OU55VGI0Y3Z3PQ,verified-official-remote-reference,https://www.smeg.com/au/products/PGA64,Smeg,https://www.smeg.com/au/products/PGA64,2026-09-03,official-remote-reference
product:appliances:cooktops:smeg:pga95,Smeg,cooktops,PGA95,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:smeg:sai4954d,Smeg,cooktops,SAI4954D,https://assets.4flow.cloud/THUMB_SAI4954D.jpg.jpg?pEFs=cVY2M1MyN1ZOMFFadEQ5ZlVOMzhVMWd2SEg1bFN2MnZHYVlRMko1S3lpRENMOGZyaml2dzUreTZqZ3RTTkJjNHR4WmFMblhtQTA3eU1NK0UrVGZ3NUl6ZnlwanRFRG1BRE94SWNmdVk3RGxmbVhTanUzRjFaQ2kyeWJqbWl3MUVjY0FoS0RSd2phMXZLNURPOGo2T1lQNVpTZ2lqRCt1eW9ycGhtRXptd2NzPQ,verified-official-remote-reference,https://www.smeg.com/au/products/SAI4954D,Smeg,https://www.smeg.com/au/products/SAI4954D,2026-09-03,official-remote-reference
product:appliances:cooktops:smeg:si2641d,Smeg,cooktops,SI2641D,,exact-image-unavailable,,,,2026-09-03,exact-image-unavailable
product:appliances:cooktops:westinghouse:whc642bc,Westinghouse,cooktops,WHC642BC,https://www.westinghouse.com.au/resourceimageelectrolux/Public/Image2/product/111278/63236.png?width=1200&height=630,verified-official-remote-reference,https://www.westinghouse.com.au/cooking/cooktops/whc642bc/,Westinghouse,https://www.westinghouse.com.au/cooking/cooktops/whc642bc/,2026-09-03,official-remote-reference
