product_id,brand,model,family,search_query,source_url,source_type,source_organisation,page_accessible,exact_model_found,model_match_confidence,image_found,specifications_found,document_found,checked_at,notes
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,NIO 844 DO B AUS,cooktops,Ariston NIO 844 DO B AUS,https://ariston.com.au/inventory/nio844dob/,official-australian-product-page,Ariston Australia,true,true,exact,true,true,true,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:cooktops:ariston:pc640ntx,Ariston,PC640NTX,cooktops,Ariston PC640NTX,https://ariston.com.au/inventory/pc640ntx/,official-australian-product-page,Ariston Australia,true,true,exact,true,true,true,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,Ariston PF604IX,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:ariston:pf604ix,Ariston,PF604IX,cooktops,"""PF604IX"" Ariston manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,Ariston PKQ 755 D GH AUS,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,PKQ 755 D GH AUS,cooktops,"""PKQ 755 D GH AUS"" Ariston manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:blanco:bcc604t,Blanco,BCC604T,cooktops,Blanco BCC604T,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:blanco:bcc604t,Blanco,BCC604T,cooktops,"""BCC604T"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:blanco:bcg604wx,Blanco,BCG604WX,cooktops,Blanco BCG604WX,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:blanco:bcg604wx,Blanco,BCG604WX,cooktops,"""BCG604WX"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:blanco:bcg905wx,Blanco,BCG905WX,cooktops,Blanco BCG905WX,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:blanco:bcg905wx,Blanco,BCG905WX,cooktops,"""BCG905WX"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:blanco:bic90x,Blanco,BIC90X,cooktops,Blanco BIC90X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:blanco:bic90x,Blanco,BIC90X,cooktops,"""BIC90X"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:euromaid:ecck900,Euromaid,ECCK900,cooktops,Euromaid ECCK900,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:euromaid:ecck900,Euromaid,ECCK900,cooktops,"""ECCK900"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:euromaid:gc90s,Euromaid,GC90S,cooktops,Euromaid GC90S,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:euromaid:gc90s,Euromaid,GC90S,cooktops,"""GC90S"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
