product_id,brand,family,model,source_file,source_sheet,source_row_ids,product_page_status,product_page_url,description_status,specification_status,source_checked_at,manual_review_required,manual_review_reason
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,cooktops,NIO 844 DO B AUS,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,70,verified-exact-model,https://ariston.com.au/inventory/nio844dob/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:ariston:pc640ntx,Ariston,cooktops,PC640NTX,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,61,verified-exact-model,https://ariston.com.au/inventory/pc640ntx/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:ariston:pf604ix,Ariston,cooktops,PF604IX,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,55,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,cooktops,PKQ 755 D GH AUS,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,76,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:blanco:bcc604t,Blanco,cooktops,BCC604T,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,138,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:blanco:bcg604wx,Blanco,cooktops,BCG604WX,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,144,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:blanco:bcg905wx,Blanco,cooktops,BCG905WX,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,159,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:blanco:bic90x,Blanco,cooktops,BIC90X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,153,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:euromaid:ecck900,Euromaid,cooktops,ECCK900,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,27,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:euromaid:gc90s,Euromaid,cooktops,GC90S,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,33,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:euromaid:kcs4,Euromaid,cooktops,KCS4,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,12,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:euromaid:wk60s,Euromaid,cooktops,WK60S,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,18,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:omega:ocg604x,Omega,cooktops,OCG604X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,104,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:omega:oci64z,Omega,cooktops,OCI64Z,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,98,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
