source_row_id,canonical_type,canonical_id,brand,family,model,name,unit,price,action
11,product-component,product:appliances:ovens:euromaid:eo605dtb,Euromaid,ovens,EO605DTB,EUROMAID 60CM 5 FUNCTION BUILT-IN OVEN EO605DTB,EACH,500,map workbook component row to canonical Product Library product
12,product-component,product:appliances:cooktops:euromaid:kcs4,Euromaid,cooktops,KCS4,EUROMAID 60CM CERAMIC COOKTOP KCS4,EACH,336,map workbook component row to canonical Product Library product
13,product-component,product:appliances:rangehoods:euromaid:rs6s,Euromaid,rangehoods,RS6S,EUROMAID 60CM SLIDE OUT RANGEHOOD RS6S,EACH,249,map workbook component row to canonical Product Library product
14,product-component,product:appliances:dishwashers:euromaid:edw14s,Euromaid,dishwashers,EDW14S,EUROMAID 60CM DISHWASHER EDW14S,EACH,599,map workbook component row to canonical Product Library product
15,package,pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,Euromaid,appliance-packs,,EUROMAID PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,1684,map workbook package row to canonical Product Library package
17,product-component,product:appliances:ovens:euromaid:eo605dtb,Euromaid,ovens,EO605DTB,EUROMAID 60CM 5 FUNCTION BUILT-IN OVEN EO605DTB,EACH,500,map workbook component row to canonical Product Library product
18,product-component,product:appliances:cooktops:euromaid:wk60s,Euromaid,cooktops,WK60S,EUROMAID 60CM GAS COOKTOP WK60S,EACH,250,map workbook component row to canonical Product Library product
19,product-component,product:appliances:rangehoods:euromaid:rs6s,Euromaid,rangehoods,RS6S,EUROMAID 60CM SLIDE OUT RANGEHOOD RS6S,EACH,249,map workbook component row to canonical Product Library product
20,product-component,product:appliances:dishwashers:euromaid:edw14s,Euromaid,dishwashers,EDW14S,EUROMAID 60CM DISHWASHER EDW14S,EACH,599,map workbook component row to canonical Product Library product
21,package,pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,Euromaid,appliance-packs,,EUROMAID PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,1598,map workbook package row to canonical Product Library package
23,product-component,product:appliances:rangehoods:euromaid:cpt6s,Euromaid,rangehoods,CPT6S,EUROMAID 600MM CANOPY RANGEHOOD OPTION - EUROMAID 60CM PYRAMID CANOPY RANGEHOOD CPT6S,EACH,379,map workbook component row to canonical Product Library product
24,product-component,product:appliances:rangehoods:euromaid:cs60s,Euromaid,rangehoods,CS60S,EUROMAID 600MM UNDER CUPBOARD RANGEHOOD OPTION - EUROMAID 60CM RECIRCULATING/FIXED RANGEHOOD CS60S,EACH,112,map workbook component row to canonical Product Library product
26,product-component,product:appliances:ovens:euromaid:eo916astb,Euromaid,ovens,EO916ASTB,EUROMAID 90CM BUILT-IN OVEN EO916ASTB,EACH,1199,map workbook component row to canonical Product Library product
