product_code,linked_quote_item_code,supplier_name,brand,range,product_name,model,category,subcategory,product_family,colour,finish,size,width,height,depth,variant_name,primary_image,gallery_images,official_product_url,specification_url,rrp,builder_cost,client_price,currency,gst_treatment,price_effective_date,active,discontinued
NT-CER-450-COTTO-DUST,approved-family:flooring,National Tiles,National Tiles,Cotto,Cotto Dust Matt Tile,NT25-1093FL,Flooring,Ceramic Floor Tile,flooring,Dust,MATT,450x450mm,450,450,,Cotto Dust,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/cotto-dust-matt-p,,49.95,49.95,49.95,AUD,GST inclusive,2026-09-07,true,false
NT-CER-450-SMART-GREIGE,approved-family:flooring,National Tiles,National Tiles,Smart Stone,Smart Stone Greige Matt Tile,,Flooring,Ceramic Floor Tile,flooring,Greige,MATT,450x450mm,450,450,,Smart Stone Greige,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-size/450-x-450,,49.95,49.95,49.95,AUD,GST inclusive,2026-09-07,true,false
NT-CER-450-SMART-NATURAL,approved-family:flooring,National Tiles,National Tiles,Smart Stone,Smart Stone Natural Matt Tile,,Flooring,Ceramic Floor Tile,flooring,Natural,MATT,450x450mm,450,450,,Smart Stone Natural,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-size/450-x-450,,49.95,49.95,49.95,AUD,GST inclusive,2026-09-07,true,false
NT-CER-450-SPA-BEIGE,approved-family:flooring,National Tiles,National Tiles,Spa,Spa Beige Matt Tile,,Flooring,Ceramic Floor Tile,flooring,Beige,MATT,450x450mm,450,450,,Spa Beige,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-size/450-x-450,,49.95,49.95,49.95,AUD,GST inclusive,2026-09-07,true,false
NT-CER-450-SPA-GREY,approved-family:flooring,National Tiles,National Tiles,Spa,Spa Grey Matt Tile,,Flooring,Ceramic Floor Tile,flooring,Grey,MATT,450x450mm,450,450,,Spa Grey,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-size/450-x-450,,49.95,49.95,49.95,AUD,GST inclusive,2026-09-07,true,false
NT-CER-450-ZETLAND-GREY,approved-family:flooring,National Tiles,National Tiles,Zetland,Zetland Grey Matt Tile,,Flooring,Ceramic Floor Tile,flooring,Grey,MATT,450x450mm,450,450,,Zetland Grey,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-size/450-x-450,,39.95,39.95,39.95,AUD,GST inclusive,2026-09-07,true,false
NT-CER-450-ZETLAND-WHITE,approved-family:flooring,National Tiles,National Tiles,Zetland,Zetland White Matt Tile,,Flooring,Ceramic Floor Tile,flooring,White,MATT,450x450mm,450,450,,Zetland White,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-size/450-x-450,,39.95,39.95,39.95,AUD,GST inclusive,2026-09-07,true,false
NT-POR-600-SUPER-WHITE,approved-family:flooring,National Tiles,National Tiles,Super White,Super White Polished Tile,,Flooring,Porcelain Floor Tile,flooring,White,POLISHED,600x600mm,600,600,,Super White Polished,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-look/white-floors,,49.95,49.95,49.95,AUD,GST inclusive,2026-09-07,true,false
NT-POR-600-SUPER-WHITE-MATT,approved-family:flooring,National Tiles,National Tiles,Super White,Super White Lx Matt Tile,,Flooring,Porcelain Floor Tile,flooring,White,MATT,600x600mm,600,600,,Super White Matt,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-look/white-floors,,64.95,64.95,64.95,AUD,GST inclusive,2026-09-07,true,false
NT-POR-600-ULTRA80-WHITE,approved-family:flooring,National Tiles,National Tiles,Ultra80,Ultra80 White Polished Tile,,Flooring,Porcelain Floor Tile,flooring,White,POLISHED,600x600mm,600,600,,Ultra80 White,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-look/white-floors,,64.95,64.95,64.95,AUD,GST inclusive,2026-09-07,true,false
