CODE,WINDOWS,WINDOWS,ITEM,UNIT,QTY,RATE,TOTAL
,WINDOWS,ALUMINIUM WINDOWS AS PER PLAN,COLOUR,,,,
,WINDOWS,TIMBER WINDOWS AS PER PLAN,COLOUR,,,,
,WINDOWS,FLYSCREENS ,COLOUR,,,,
,,,,,,,
,,,,,,,
CODE,ROOFING MATERIALS,,ITEM,UNIT,QTY,RATE,TOTAL
,ROOFING MATERIALS,COLORBOND ROOFING,ROOFING IRON,ITEM,,,
,ROOFING MATERIALS,TILE ROOFING,ROOF TILES,ITEM,,,
,ROOFING MATERIALS,ROOFING MATERIALS,FASCIAS,ITEM,,,
,ROOFING MATERIALS,ROOFING MATERIALS,GUTTERING,ITEM,,,
,,,,,,,
,,,,,,,
CODE,ENTRY DOORS,,ITEM,UNIT,QTY,RATE,TOTAL
,ENTRY DOORS,ENTRY DOORS,HUME DOORS 820,EACH,,,
,ENTRY DOORS,DOUBLE ENTRY DOORS,HUME DOORS 1200,EACH,,,
,ENTRY DOORS,DOUBLE ENTRY DOORS,HANDLE (KEY IN KNOB),EACH,,,
,SIDE LIGHTS,SIDE LIGHTS,DOOR JAMB WITH 1 SIDE LIGHT,EACH,,,
,PIVOT DOOR,PIVOT DOOR,PIVOT DOOR PC SUM,PC,,,
,LAUNDRY/GARAGE 820 1/3 PANEL GLASS DOOR,LAUNDRY/GARAGE 820 1/3 PANEL GLASS DOOR,DOOR - BUILDERS RANGE (1/3 PANEL GLASS RC),EACH,,,
,LAUNDRY/GARAGE 820 1/3 PANEL GLASS DOOR,LAUNDRY/GARAGE 820 1/3 PANEL GLASS DOOR,HANDLE (KEY IN KNOB),EACH,,,
,LAUNDRY/GARAGE 820 1/3 PANEL GLASS DOOR,LAUNDRY/GARAGE 820 1/3 PANEL GLASS DOOR,DOGGY FLAP,EACH,,,
,,,,,,,
,DOOR JAMBS,,,,,,
,DOOR JAMBS,DOOR JAMBS,EXTERIOR DOOR JAMBS - PAINT GRADE,EACH,,,
,DOOR JAMBS,DOOR JAMBS,EXTERIOR DOOR JAMBS - STAIN GRADE,EACH,,,
,DOOR JAMBS,DOOR JAMBS,DOUBLE FRONT DOOR JAMB - PAINT GRADE,EACH,,,
,DOOR JAMBS,DOOR JAMBS,DOUBLE FRONT DOOR JAMB - STAIN GRADE,EACH,,,
,,,,,,,
,,,,,,,
CODE,ENTRY DOOR FURNITURE,,ITEM,UNIT,QTY,RATE,TOTAL
,DOOR FURNITURE,DOOR FURNITURE,GAINSBOROUGH SC KEY IN KNOB ENTRACE SET,EACH,,,
,DOOR FURNITURE,DOOR FURNITURE,GAINSBOROUGH TRILOCK,EACH,,,
,DOOR FURNITURE,DOOR FURNITURE,600mm CHROME PULL HANDLES,PAIR,,,
,DOOR FURNITURE,DOOR FURNITURE,DEADLOCK AND SPRING CATCH,EACH,,,
,DOOR FURNITURE,DOOR FURNITURE,MISC ENTRANCE SET (PC ALLOWANCE),EACH,,,
,,,,,,,
,,,,,,,
CODE,GARAGE DOORS ,,ITEM,UNIT,QTY,RATE,TOTAL
,GARAGE DOORS - SECTIONAL PANEL LIFT,GARAGE DOORS - SECTIONAL PANEL LIFT,COLOURBOND GARAGE DOOR - 2100 X 4800w,ITEM,,,
,GARAGE DOORS - SECTIONAL PANEL LIFT,GARAGE DOORS - SECTIONAL PANEL LIFT,COLOURBOND GARAGE DOOR - 2400 X 4800w,ITEM,,,
,GARAGE DOORS - SECTIONAL PANEL LIFT,GARAGE DOORS - SECTIONAL PANEL LIFT,COLOURBOND GARAGE DOOR - 2100 X UP TO 5450w,ITEM,,,
,GARAGE DOORS - SECTIONAL PANEL LIFT,GARAGE DOORS - SECTIONAL PANEL LIFT,COLOURBOND GARAGE DOOR - 2400 X UP TO 5450w,ITEM,,,
,GARAGE DOORS - SECTIONAL PANEL LIFT,GARAGE DOORS - SECTIONAL PANEL LIFT,COLOURBOND GARAGE DOOR - 2100 X 2400w,ITEM,,,
,GARAGE DOORS - SECTIONAL PANEL LIFT,GARAGE DOORS - SECTIONAL PANEL LIFT,COLOURBOND GARAGE DOOR - 2400 X 2400w,ITEM,,,
,GARAGE DOORS - SECTIONAL PANEL LIFT,GARAGE DOORS - SECTIONAL PANEL LIFT,COLOURBOND GARAGE DOOR - 2100 X 3000w,ITEM,,,
,GARAGE DOORS - SECTIONAL PANEL LIFT,GARAGE DOORS - SECTIONAL PANEL LIFT,GARAGE DOOR - TIMBER LOOK UPGRADE,ITEM,,,
,GARAGE DOORS - MANUAL ROLL-A-DOOR,GARAGE DOORS - MANUAL ROLL-A-DOOR,COLOURBOND GARAGE DOOR - 2100 X 2500w,ITEM,,,
,GARAGE DOORS - MANUAL ROLL-A-DOOR,GARAGE DOORS - MANUAL ROLL-A-DOOR,ADD FOR REMOTE OPENER,ITEM,,,
,GARAGE DOOR JAMBS,SINGLE GARAGE DOOR JAMBS,SINGLE GARAGE DOOR JAMB 163 X 31 PRIMIED,EACH,,,
,GARAGE DOOR JAMBS,DOUBLE GARAGE DOOR JAMBS,DOUBLE GARAGE DOOR JAMB 163 X 31 PRIMIED,EACH,,,
,,,,,,,
,,,,,,,
,,,,,,,
