product_code,family_key,requirement_keys,category_key,top_level_area,manufacturer,brand,supplier,range,collection,product_name,model,sku,description,colour,official_colour_name,colour_group,finish,size,dimensions,profile,texture,configuration,material,primary_image_url,thumbnail_url,gallery_image_urls,image_source_url,image_source_type,image_verified_at,image_status,official_product_url,specification_url,brochure_url,supplier_url,rrp,client_price,currency,gst_included,price_unit,normalized_unit_price,price_status,price_source_url,price_verified_at,country,regions,region_review_required,active,discontinued,archived,source_type,source_name,source_url,source_retrieved_at,source_verified_at,notes
BRICK-PGH-HORIZON-AIRLIE,bricks,bricks,exterior,exterior,PGH Bricks,PGH Bricks,PGH Bricks,Horizon,,Airlie,,,Official PGH Horizon brick colour shown on the PGH Horizon range page,Airlie,Airlie,cream,,standard,,,,,clay,https://www.csrassetlibrary.com/celum/65047_yConnect_Original_HAMPTONS%20ABODE%20Horizon%20-%20Airlie.png,https://www.csrassetlibrary.com/celum/65047_yConnect_Original_HAMPTONS%20ABODE%20Horizon%20-%20Airlie.png,https://www.csrassetlibrary.com/celum/65047_yConnect_Original_HAMPTONS%20ABODE%20Horizon%20-%20Airlie.png,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,manufacturer_range_page,2026-08-13,verified_exact,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,,,AUD,true,,,quote_required,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,2026-08-13,AU,QLD;AU,false,true,false,false,official_manufacturer_page,PGH Horizon range page,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,2026-08-13,2026-08-13,PGH page supplies request pricing rather than public exact Queensland retail price
BRICK-PGH-HORIZON-EMERALD,bricks,bricks,exterior,exterior,PGH Bricks,PGH Bricks,PGH Bricks,Horizon,,Emerald,,,Official PGH Horizon brick colour described as medium warm brown,Emerald,Emerald,brown,,standard,,,,,clay,https://www.csrassetlibrary.com/celum/65048_yConnect_Original_SERENITY%20RESIDENCE%20Horizon%20-%20Emerald.png,https://www.csrassetlibrary.com/celum/65048_yConnect_Original_SERENITY%20RESIDENCE%20Horizon%20-%20Emerald.png,https://www.csrassetlibrary.com/celum/65048_yConnect_Original_SERENITY%20RESIDENCE%20Horizon%20-%20Emerald.png,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,manufacturer_range_page,2026-08-13,verified_exact,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,,,AUD,true,,,quote_required,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,2026-08-13,AU,QLD;AU,false,true,false,false,official_manufacturer_page,PGH Horizon range page,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,2026-08-13,2026-08-13,PGH page supplies request pricing rather than public exact Queensland retail price
BRICK-PGH-HORIZON-ROCKHAMPTON,bricks,bricks,exterior,exterior,PGH Bricks,PGH Bricks,PGH Bricks,Horizon,,Rockhampton,,,Official PGH Horizon brick colour described as light ash brown,Rockhampton,Rockhampton,brown,,standard,,,,,clay,https://www.csrassetlibrary.com/celum/27124_yConnect_Original_oursharedacre%202.png,https://www.csrassetlibrary.com/celum/27124_yConnect_Original_oursharedacre%202.png,https://www.csrassetlibrary.com/celum/25061_yConnect_Original_Simonds%20Rockhampton.png,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,manufacturer_range_page,2026-08-13,verified_exact,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,,,AUD,true,,,quote_required,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,2026-08-13,AU,QLD;AU,false,true,false,false,official_manufacturer_page,PGH Horizon range page,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/horizon,2026-08-13,2026-08-13,PGH page supplies request pricing rather than public exact Queensland retail price
BRICK-PGH-SMOOTH-BLACK-AND-TAN,bricks,bricks,exterior,exterior,PGH Bricks,PGH Bricks,PGH Bricks,Smooth,,Black and Tan,,,Official PGH Smooth brick colour shown in manufacturer gallery,Black and Tan,Black and Tan,black,smooth,standard,,,,,clay,https://www.csrassetlibrary.com/celum/27583_yConnect_Original_Eden%20Brae%20Homes_Black%20and%20Tan_Smooth.png,https://www.csrassetlibrary.com/celum/27583_yConnect_Original_Eden%20Brae%20Homes_Black%20and%20Tan_Smooth.png,https://www.csrassetlibrary.com/celum/25705_yConnect_Original_Smooth-Black&Tan-PGHBricks%20(4).png;https://www.csrassetlibrary.com/celum/25703_yConnect_Original_Smooth-Black&Tan-PGHBricks%20(2).png,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,manufacturer_range_page,2026-08-13,verified_exact,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,,,AUD,true,,,quote_required,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,2026-08-13,AU,QLD;AU,false,true,false,false,official_manufacturer_page,PGH Smooth range page,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,2026-08-13,2026-08-13,PGH page supplies request pricing rather than public exact Queensland retail price
BRICK-PGH-SMOOTH-MINERAL,bricks,bricks,exterior,exterior,PGH Bricks,PGH Bricks,PGH Bricks,Smooth,,Mineral,,,Official PGH Smooth brick colour shown in manufacturer gallery,Mineral,Mineral,grey,smooth,standard,,,,,clay,https://www.csrassetlibrary.com/celum/65225_yConnect_Original_SERENITY%20RESIDENCE%20Smooth%20-%20Mineral.png,https://www.csrassetlibrary.com/celum/65225_yConnect_Original_SERENITY%20RESIDENCE%20Smooth%20-%20Mineral.png,https://www.csrassetlibrary.com/celum/65225_yConnect_Original_SERENITY%20RESIDENCE%20Smooth%20-%20Mineral.png,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,manufacturer_range_page,2026-08-13,verified_exact,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,,,AUD,true,,,quote_required,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,2026-08-13,AU,QLD;AU,false,true,false,false,official_manufacturer_page,PGH Smooth range page,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,2026-08-13,2026-08-13,PGH page supplies request pricing rather than public exact Queensland retail price
BRICK-PGH-SMOOTH-OAT,bricks,bricks,exterior,exterior,PGH Bricks,PGH Bricks,PGH Bricks,Smooth,,Oat,,,Official PGH Smooth brick colour shown in manufacturer gallery,Oat,Oat,cream,smooth,standard,,,,,clay,https://www.csrassetlibrary.com/celum/65237_yConnect_Original_CONTEMPORARY%20HOMESTEAD%20Smooth%20-%20Oat.png,https://www.csrassetlibrary.com/celum/65237_yConnect_Original_CONTEMPORARY%20HOMESTEAD%20Smooth%20-%20Oat.png,https://www.csrassetlibrary.com/celum/65237_yConnect_Original_CONTEMPORARY%20HOMESTEAD%20Smooth%20-%20Oat.png,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,manufacturer_range_page,2026-08-13,verified_exact,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,,,AUD,true,,,quote_required,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,2026-08-13,AU,QLD;AU,false,true,false,false,official_manufacturer_page,PGH Smooth range page,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,2026-08-13,2026-08-13,PGH page supplies request pricing rather than public exact Queensland retail price
BRICK-PGH-SMOOTH-PEARL-GREY,bricks,bricks,exterior,exterior,PGH Bricks,PGH Bricks,PGH Bricks,Smooth,,Pearl Grey,,,Official PGH Smooth brick colour shown in manufacturer gallery,Pearl Grey,Pearl Grey,grey,smooth,standard,,,,,clay,https://www.csrassetlibrary.com/celum/65238_yConnect_Original_CLASSIC%20CONTEMPORARY%20Smooth%20-%20Pearl%20Grey%20(1).png,https://www.csrassetlibrary.com/celum/65238_yConnect_Original_CLASSIC%20CONTEMPORARY%20Smooth%20-%20Pearl%20Grey%20(1).png,https://www.csrassetlibrary.com/celum/65238_yConnect_Original_CLASSIC%20CONTEMPORARY%20Smooth%20-%20Pearl%20Grey%20(1).png,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,manufacturer_range_page,2026-08-13,verified_exact,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,,,AUD,true,,,quote_required,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,2026-08-13,AU,QLD;AU,false,true,false,false,official_manufacturer_page,PGH Smooth range page,https://www.pghbricks.com.au/products/bricks/browse-bricks/range/smooth,2026-08-13,2026-08-13,PGH page supplies request pricing rather than public exact Queensland retail price
BRICK-AUSTRAL-LA-PALOMA-AZUL,bricks,bricks,exterior,exterior,Austral Bricks,Austral Bricks,Austral Bricks,La Paloma,,Azul,,9A0370010320001571100,Official Austral Bricks La Paloma colour on the South Queensland product page,Azul,Azul,blue,textured,standard,230x110x76mm,,,,clay,https://bwassets.widen.net/content/uetqjinbfa/webp/Swatch_Azul_LaPaloma.webp?w=377&crop=yes&quality=80,https://bwassets.widen.net/content/uetqjinbfa/webp/Swatch_Azul_LaPaloma.webp?w=377&crop=yes&quality=80,https://bwassets.widen.net/content/n1iaj19gwb/webp/MYLA_8289.webp?w=860&crop=yes&quality=80;https://bwassets.widen.net/content/nbun61u2ih/webp/Facade_HawthornTownhouses2_LaPaloma.webp?w=860&crop=yes&quality=80,https://australbricks.com.au/sqld/product/la-paloma?v=3690,manufacturer_product_page,2026-08-13,verified_exact,https://australbricks.com.au/sqld/product/la-paloma?v=3690,https://australbricks.com.au/sqld/technical-information,https://australbricks.com.au/sqld/brochures,https://australbricks.com.au/sqld/product/la-paloma?v=3690,,,AUD,true,each,,quote_required,https://australbricks.com.au/sqld/product/la-paloma?v=3690,2026-08-13,AU,QLD;AU,false,true,false,false,official_manufacturer_page,Austral Bricks SQD La Paloma product page,https://australbricks.com.au/sqld/product/la-paloma?v=3690,2026-08-13,2026-08-13,Public SQD product page did not expose exact retail price during verification
BRICK-AUSTRAL-LA-PALOMA-CASTELLANA,bricks,bricks,exterior,exterior,Austral Bricks,Austral Bricks,Austral Bricks,La Paloma,,Castellana,,9A0370010650000571100,Official Austral Bricks La Paloma colour on the South Queensland product page,Castellana,Castellana,cream,textured,standard,230x110x76mm,,,,clay,https://bwassets.widen.net/content/1tqrndi1dm/webp/Swatch_Castellana_LaPaloma.webp?w=377&crop=yes&quality=80,https://bwassets.widen.net/content/1tqrndi1dm/webp/Swatch_Castellana_LaPaloma.webp?w=377&crop=yes&quality=80,https://bwassets.widen.net/content/5gsbxbhsk1/webp/brickworksOP-8282.webp?w=860&crop=yes&quality=80;https://bwassets.widen.net/content/6xwf6guj6f/webp/TheGabriella_CrysteleHomes_Facade_LaPalomaCastellana_SanSelmoClassicoAgedRed_1.webp?w=860&crop=yes&quality=80,https://australbricks.com.au/sqld/product/la-paloma?v=3684,manufacturer_product_page,2026-08-13,verified_exact,https://australbricks.com.au/sqld/product/la-paloma?v=3684,https://australbricks.com.au/sqld/technical-information,https://australbricks.com.au/sqld/brochures,https://australbricks.com.au/sqld/product/la-paloma?v=3684,,,AUD,true,each,,quote_required,https://australbricks.com.au/sqld/product/la-paloma?v=3684,2026-08-13,AU,QLD;AU,false,true,false,false,official_manufacturer_page,Austral Bricks SQD La Paloma product page,https://australbricks.com.au/sqld/product/la-paloma?v=3684,2026-08-13,2026-08-13,Public SQD product page did not expose exact retail price during verification
BRICK-AUSTRAL-LA-PALOMA-MIRO,bricks,bricks,exterior,exterior,Austral Bricks,Austral Bricks,Austral Bricks,La Paloma,,Miro,,9A0370011930001571100,Official Austral Bricks La Paloma colour on the South Queensland product page,Miro,Miro,black,textured,standard,230x110x76mm,,,,clay,https://bwassets.widen.net/content/ib6banx8p6/webp/Swatch_Miro_LaPaloma.webp?w=377&crop=yes&quality=80,https://bwassets.widen.net/content/ib6banx8p6/webp/Swatch_Miro_LaPaloma.webp?w=377&crop=yes&quality=80,https://bwassets.widen.net/content/j96yblu4df/webp/Project_OakmanResidencesTaringa_LaPalomaMiro5.webp?w=860&crop=yes&quality=80;https://bwassets.widen.net/content/do8vzctlwo/webp/Project_OakmanResidencesTaringa_LaPalomaMiro.webp?w=860&crop=yes&quality=80,https://australbricks.com.au/sqld/product/la-paloma?v=3311,manufacturer_product_page,2026-08-13,verified_exact,https://australbricks.com.au/sqld/product/la-paloma?v=3311,https://australbricks.com.au/sqld/technical-information,https://australbricks.com.au/sqld/brochures,https://australbricks.com.au/sqld/product/la-paloma?v=3311,,,AUD,true,each,,quote_required,https://australbricks.com.au/sqld/product/la-paloma?v=3311,2026-08-13,AU,QLD;AU,false,true,false,false,official_manufacturer_page,Austral Bricks SQD La Paloma product page,https://australbricks.com.au/sqld/product/la-paloma?v=3311,2026-08-13,2026-08-13,Public SQD product page did not expose exact retail price during verification
